"","Checklist.ID","Site.ID","year","month","Sampling.protocol","Party.Size","Observer","presence","presence_f","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","geometry"
"64",2966,2966,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-748920.92334894, 548265.810414037)
"65",2968,2968,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-785000.014080638, 522775.367752177)
"66",2969,2969,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-789182.653345577, 502037.07254949)
"67",3011,3011,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-578857.652624555, 198095.883680936)
"68",3012,3012,2012,6,"Traveling Survey",NA,"CFERTeam",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-584355.362243867, 201138.275030922)
"69",3061,3061,2012,6,"Area Survey",NA,"imbeaul",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-746750.17474769, 537655.100522186)
"70",3062,3062,2012,6,"Area Survey",NA,"imbeaul",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-726505.252656361, 515101.178275376)
"71",3063,3063,2012,6,"Area Survey",NA,"imbeaul",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-751387.793238017, 538330.762193729)
"72",3064,3064,2012,6,"Area Survey",NA,"imbeaul",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-732058.780470805, 521397.477434577)
"73",3065,3065,2012,6,"Area Survey",NA,"imbeaul",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-747679.00019761, 493467.279530837)
"74",3066,3066,2012,6,"Area Survey",NA,"imbeaul",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-787540.423769996, 513927.098388913)
"75",3086,3086,2012,6,"Area Survey",NA,"Max Larrivee",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-568473.393591698, 187871.52355971)
"76",3095,3095,2012,6,"Area Survey",NA,"imbeaul",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-733687.204267478, 511715.345277117)
"77",3170,3170,2012,6,"Area Survey",NA,"Calopogon",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-210458.806599267, 321851.088388374)
"78",3222,3222,2012,6,"Area Survey",NA,"Ludovic",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-15008.9724362359, 486016.804273463)
"79",3247,3247,2012,6,"Area Survey",NA,"Nadeaue",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-368562.411237052, 182998.543935543)
"80",3285,3285,2012,6,"Area Survey",NA,"Jewelwing",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-584928.403551844, 201486.529248687)
"81",3288,3288,2012,6,"Traveling Survey",NA,"rcav",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-579911.705261497, 253173.480134621)
"82",3430,3430,2012,6,"Traveling Survey",NA,"rcav",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-601715.843521656, 204295.963279413)
"83",3431,3431,2012,6,"Traveling Survey",NA,"rcav",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-613077.760537149, 200855.571939201)
"84",3432,3432,2012,6,"Traveling Survey",NA,"rcav",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-595723.916267181, 214697.804349685)
"85",3433,3433,2012,6,"Traveling Survey",NA,"rcav",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-588755.63334679, 204028.680766557)
"86",3513,3513,2012,6,"Traveling Survey",NA,"CFERTeam",1,"Presence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-580341.036491684, 338957.174458197)
